0,5000.0,0
0.0205,253.0985286753466,?
0.0355,231.73736214464736,?
0.0395,685.8668015802743,27
0.0605,278.6921605226972,?
0.106,232.49330621018555,?
1.1255,435.4706025530311,26
1.165,4046.516722628197,1
1.2045,706.580178940776,28
1.2255,254.17553744382533,?
1.2595,237.28295437772226,?
1.271,309.48927680873896,?
1.8325,300.4326790875478,20
2.33,1897.4426503598888,2
2.3695,473.3067711970916,?
2.436,282.3814510161173,?
2.4795,230.29119399947513,?
2.5,264.1080607561525,41
2.5365,263.7535559696016,14
2.6385,253.1148853120405,?
2.6835,259.8437693970574,?
2.9975,292.10900869335256,19
3.037,312.4376164067683,8
